benchmark,implementation,vector_length,useful_macs,program_instructions,retired_instructions,cycles_to_store,total_cycles,cpi,macs_per_cycle,mmac_per_s_100mhz,speedup_vs_scalar,speedup_vs_mac8,dot_peak_utilisation_percent,first_issue_cycle,last_issue_cycle,first_completion_cycle,last_completion_cycle,first_dot_retire_cycle,last_dot_retire_cycle,dot_issue_interval,dot_completion_interval,dot_retirement_interval,load_count,dot_count,store_count,hold_cycles,final_result,pass_fail,notes
"independent_dot","DOT4ACC",8,8,3,3,13,13,4.333333,0.615385,61.538462,,,15.384615,4,5,7,8,8,9,1.000000,1.000000,1.000000,0,2,1,5,0x0000029d,PASS,"K=2 independent destinations; measured issue II=1.000"
"independent_dot","DOT4ACC",16,16,5,5,15,15,3.000000,1.066667,106.666667,,,26.666667,4,7,7,10,8,11,1.000000,1.000000,1.000000,0,4,1,5,0x0000029d,PASS,"K=4 independent destinations; measured issue II=1.000"
"independent_dot","DOT4ACC",32,32,9,9,19,19,2.111111,1.684211,168.421053,,,42.105263,4,11,7,14,8,15,1.000000,1.000000,1.000000,0,8,1,5,0x0000029d,PASS,"K=8 independent destinations; measured issue II=1.000"
"independent_dot","DOT4ACC",64,64,17,17,27,27,1.588235,2.370370,237.037037,,,59.259259,4,19,7,22,8,23,1.000000,1.000000,1.000000,0,16,1,5,0x0000029d,PASS,"K=16 independent destinations; measured issue II=1.000"
"memory_fed","DOT4ACC",16,16,13,13,39,39,3.000000,0.410256,41.025641,,,10.256410,7,31,10,34,11,35,8.000000,8.000000,8.000000,8,4,1,17,0x00000a05,PASS,"register-resident cycle ratio=2.600000"
"memory_fed","DOT4ACC",32,32,25,25,71,71,2.840000,0.450704,45.070423,,,11.267606,7,63,10,66,11,67,8.000000,8.000000,8.000000,16,8,1,33,0x000013e5,PASS,"register-resident cycle ratio=3.736842"
"memory_fed","DOT4ACC",64,64,49,49,135,135,2.755102,0.474074,47.407407,,,11.851852,7,127,10,130,11,131,8.000000,8.000000,8.000000,32,16,1,65,0x000027a5,PASS,"register-resident cycle ratio=5.000000"
"memory_fed","DOT4ACC",128,128,97,97,263,263,2.711340,0.486692,48.669202,,,12.167300,7,255,10,258,11,259,8.000000,8.000000,8.000000,64,32,1,129,0x00004f25,PASS,"register-resident cycle ratio=6.116279"
"hold_interleaved","DOT4ACC",16,16,8,8,33,33,4.125000,0.484848,48.484848,,,12.121212,4,25,7,28,8,29,7.000000,7.000000,7.000000,0,4,1,20,0x00000a05,PASS,"K=4; pure-chain cycles=15; added independent ADDI=3"
"hold_interleaved","DOT4ACC",32,32,16,16,61,61,3.812500,0.524590,52.459016,,,13.114754,4,53,7,56,8,57,7.000000,7.000000,7.000000,0,8,1,40,0x000013e5,PASS,"K=8; pure-chain cycles=19; added independent ADDI=7"
"hold_interleaved","DOT4ACC",64,64,32,32,117,117,3.656250,0.547009,54.700855,,,13.675214,4,109,7,112,8,113,7.000000,7.000000,7.000000,0,16,1,80,0x000027a5,PASS,"K=16; pure-chain cycles=27; added independent ADDI=15"
"consumer_add","DOT4ACC",4,4,3,3,13,13,4.333333,0.307692,30.769231,,,7.692308,4,4,7,7,8,8,0.000000,0.000000,0.000000,0,1,1,5,0x000002a4,PASS,"dependent ADD then STORE"
"consumer_store","DOT4ACC",4,4,2,2,12,12,6.000000,0.333333,33.333333,,,8.333333,4,4,7,7,8,8,0.000000,0.000000,0.000000,0,1,1,5,0x0000029d,PASS,"direct dependent STORE"
"consumer_branch","DOT4ACC",4,4,3,3,16,16,5.333333,0.250000,25.000000,,,6.250000,4,4,7,7,8,8,0.000000,0.000000,0.000000,0,1,1,5,0x0000029d,PASS,"dependent taken BEQ skips wrong-path ADDI"
"matrix_vector_4x16","Scalar",64,64,109,109,114,114,1.045872,0.561404,56.140351,1.000000,0.614035,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,0,1,0,0xfffffe1f,PASS,"four deterministic 16-element output dot products"
"matrix_vector_4x16","MAC8",64,64,65,65,70,70,1.076923,0.914286,91.428571,1.628571,1.000000,,-1,-1,-1,-1,-1,-1,0.000000,0.000000,0.000000,0,64,1,0,0xfffffe1f,PASS,"four deterministic 16-element output dot products"
"matrix_vector_4x16","DOT4ACC",64,64,17,17,27,27,1.588235,2.370370,237.037037,4.222222,2.592593,59.259259,4,19,7,22,8,23,1.000000,1.000000,1.000000,0,16,1,5,0xfffffe1f,PASS,"four deterministic 16-element output dot products"
