Pattern: *dot_issue*
  cpu_inst/dot4acc_pipeline_inst/dot_complete_meta_reg_reg[eligible]__0 | flat_pin_count=2 | driver=cpu_inst/dot_complete_meta_reg_reg[eligible]/Q
  cpu_inst/dot4acc_pipeline_inst/dot_complete_meta_reg_reg[rd][3] | flat_pin_count=33 | driver=cpu_inst/dot4acc_pipeline_inst/product2_reg_reg_i_22/O
  cpu_inst/dot4acc_pipeline_inst/dot_complete_meta_reg_reg[valid] | flat_pin_count=80 | driver=cpu_inst/dot4acc_pipeline_inst/led_OBUF[10]_inst_i_2/O
  cpu_inst/instr_mem_inst/dot_complete_meta_reg_reg[valid] | flat_pin_count=4 | driver=cpu_inst/instr_mem_inst/led_OBUF[12]_inst_i_5/O
Pattern: *dot_chain*
  cpu_inst/dot_chain_accumulator_reg[0]_i_1_n_0 | flat_pin_count=33 | driver=cpu_inst/dot_chain_accumulator_reg[0]_i_1/O
  cpu_inst/dot_chain_accumulator_reg_reg[0] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[0]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[10] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[10]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[11] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[11]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[12] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[12]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[13] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[13]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[14] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[14]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[15] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[15]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[16] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[16]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[17] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[17]/Q
